Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2109.98         0.122           0.991737        99.527          1.14913         
W2              2093.37         2256.77         0.927596        176.835         0.888502        
W3      2094.15         2149.02         0.122           0.974465        7.77341         0.526532        
W4              2094.87         1796.91         1.16582         129.132         1.38747         
W5      2095.55         1865.58         0.122           1.12327         16.0885         1.47753         
W6      2096.17         1970.85         0.122           1.06359         68.7585         1.67547         
W7      2096.74         2429.93         0.122           0.862883        1.05443         4.52876e-06     
W8      2097.26         1690.38         0.122           1.24071         83.6889         1.08261         
W9      2097.73         1737.36         0.122           1.20742         85.4352         0.717769        
W10     2098.15         1867.63         0.122           1.12343         42.6766         2.24494         
W11     2098.51         1762.34         0.122           1.19075         73.9739         0.306336        
W12     2098.82         1844.96         0.122           1.1376          42.7105         1.39439         
W13     2099.08         1813.11         0.122           1.15773         47.4075         1.81801         
W14     2099.29         1608.98         0.122           1.30474         62.7742         1.24403         
W15     2099.45         1635.02         0.122           1.28405         63.9616         0.625311        
W16     2099.55         1609.84         0.122           1.3042          56.2263         0.847771        
W17     2099.61         1713.96         0.122           1.22501         86.7853         0.982189        
W18     2099.61         1663.19         0.122           1.2624          42.815          0.678568        
W19     2099.55         1692.45         0.122           1.24054         41.561          3.13897         
W20     2099.45         1674.65         0.122           1.25366         84.0459         0.924268        
W21     2099.29         1557.49         0.122           1.34787         64.6429         0.404528        
W22     2099.08         2027.2          0.122           1.03546         42.1233         0.509236        
W23     2098.82         1869.41         0.122           1.12272         22.6179         0.297873        
W24     2098.51         1860.03         0.122           1.12822         105.06          1.62366         
W25     2098.15         1727.06         0.122           1.21487         92.2114         1.01745         
W26     2097.73         1739.02         0.122           1.20627         66.5682         2.34466         
W27     2097.26         1915.06         0.122           1.09514         63.5018         1.6427          
W28             2096.74         1840.15         1.13944         57.8246         0.702647        
W29     2096.17         1725.97         0.122           1.21449         90.5553         0.781046        
W30     2095.55         1665.64         0.122           1.25811         75.4585         1.25014         
W31     2094.87         1761.27         0.122           1.18941         42.864          2.31848         
W32     2094.15         1822.27         0.122           1.1492          28.1583         1.10296         
W33     2093.37         1107.24         0.122           1.89063         199.986         2.37751         
W34             2092.55         1595            1.31194         221.529         1               
W35     2093.37         2149.93         0.122           0.973696        1.05443         4.52903e-06     
W36     2094.2          1825.24         0.122           1.14736         43.1049         4.02869         
W37     2094.98         3609.93         0.122           0.580338        1.05439         4.51963e-06     
W38     2095.7          4549.93         0.122           0.5             1.05436         4.51246e-06     
W39     2096.38         2015.3          0.122           1.04023         39.3627         0.705923        
W40     2097            2021.84         0.122           1.03717         40.7487         0.873963        
W41     2097.57         1901.32         0.122           1.10322         47.0627         0.626571        
W42     2098.09         1814.02         0.122           1.1566          57.1954         1.10404         
W43     2098.56         1831.76         0.122           1.14565         40.9518         0.528931        
W44     2098.98         1958.98         0.122           1.07147         45.8147         0.162525        
W45     2099.34         1852.24         0.122           1.13341         49.6394         0.908113        
W46     2099.66         1794.07         0.122           1.17033         46.9404         1.51162         
W47     2099.92         1809.37         0.122           1.16058         43.709          0.557715        
W48     2100.13         1685.48         0.122           1.24601         43.7468         2.44185         
W49     2100.28         1736.52         0.122           1.20948         40.5748         0.903794        
W50     2100.39         1665.47         0.122           1.26114         47.4663         1.55153         
W51     2100.44         1852.11         0.122           1.13408         44.6919         1.92922         
W52     2100.44         1694.65         0.122           1.23946         48.8004         1.54532         
W53     2100.39         1820.66         0.122           1.15364         46.9353         0.371434        
W54     2100.28         1874.9          0.122           1.12021         45.127          1.53967         
W55     2100.13         1957.05         0.122           1.07311         47.0043         1.3498          
W56     2099.92         2050.17         0.122           1.02427         45.6118         0.929714        
W57     2099.66         1959.54         0.122           1.07151         47.383          1.78535         
W58     2099.34         1791.28         0.122           1.17198         55.9429         0.749845        
W59     2098.98         1908.25         0.122           1.09995         47.4654         1.16409         
W60     2098.56         1993.66         0.122           1.05262         46.886          1.223           
W61     2098.09         1875.13         0.122           1.11891         46.6519         0.520959        
W62     2097.57         1815.56         0.122           1.15533         38.3503         0.699077        
W63     2097            1807.02         0.122           1.16047         46.2021         1.39077         
W64     2096.38         1974.28         0.122           1.06184         47.6337         0.672595        
W65     2095.7          1933.04         0.122           1.08415         40.9404         0.845942        
W66     2094.98         1901.93         0.122           1.1015          48.3071         0.87859         
W67     2094.2          1717.57         0.122           1.21928         45.6547         0.545535        
W68             2093.37         1927.35         1.08614         112.825         0.635053        
W69             2094.15         1849.1          1.13252         93.589          0.599176        
W70     2094.98         4629.93         0.122           0.5             1.05436         4.51185e-06     
W71     2095.75         2789.93         0.122           0.751186        1.05442         4.52596e-06     
W72     2096.48         1998.05         0.122           1.04927         51.1009         2.67012         
W73     2097.15         2260.41         0.122           0.927776        13.82           1.47153         
W74     2097.78         1980.53         0.122           1.0592          49.2553         1.048           
W75     2098.35         2014.19         0.122           1.04179         36.9727         0.611655        
W76     2098.87         1978.55         0.122           1.06081         58.284          2.26328         
W77     2099.34         1777.38         0.122           1.18114         46.3843         0.20598         
W78     2099.76         1774.54         0.122           1.18327         54.5628         0.844528        
W79     2100.13         1628.06         0.122           1.28995         49.29           2.38569         
W80     2100.44         1652            0.122           1.27145         40.8182         1.39355         
W81     2100.7          1697.16         0.122           1.23777         44.6743         0.989766        
W82     2100.91         1727.81         0.122           1.21594         45.1746         0.500083        
W83     2101.07         1780.01         0.122           1.18037         36.0908         0.553578        
W84     2101.17         1758.7          0.122           1.19473         47.9891         0.416471        
W85     2101.22         1846.99         0.122           1.13765         43.1181         1.81302         
W86     2101.22         1687.12         0.122           1.24545         44.1981         0.495619        
W87     2101.17         1867.96         0.122           1.12485         45.5165         2.81879         
W88     2101.07         1845.13         0.122           1.13871         49.4803         1.33779         
W89     2100.91         2041.4          0.122           1.02915         46.0128         0.603054        
W90     2100.7          1879.42         0.122           1.11774         49.4062         1.08796         
W91     2100.44         1825.63         0.122           1.15053         49.5904         1.7803          
W92     2100.13         1909.03         0.122           1.1001          36.888          1.41874         
W93     2099.76         1819.24         0.122           1.1542          39.6905         2.08013         
W94     2099.34         1794.47         0.122           1.1699          51.0639         0.741757        
W95     2098.87         1932.57         0.122           1.08605         43.3547         1.19952         
W96     2098.35         1888.51         0.122           1.11111         42.1446         0.990204        
W97     2097.78         1830.21         0.122           1.14619         38.6656         2.68759         
W98     2097.15         1892.5          0.122           1.10814         42.0785         0.618213        
W99     2096.48         1814.43         0.122           1.15545         49.2075         1.12161         
W100    2095.75         1836.15         0.122           1.14138         35.5646         1.29384         
W101    2094.98         1790.82         0.122           1.16984         46.8359         1.17707         
W102            2094.15         1830.49         1.14404         60.7242         0.27898         
W103    2094.87         2176.99         0.122           0.962277        56.2902         1.10554         
W104    2095.7          2181.46         0.122           0.960686        22.9785         0.441095        
W105    2096.48         2091.57         0.122           1.00235         42.9711         0.891504        
W106    2097.21         2061.01         0.122           1.01756         53.0209         1.10115         
W107    2097.88         2258.9          0.122           0.928716        56.1036         0.772515        
W108    2098.51         2195.39         0.122           0.955869        91.2684         0.727615        
W109    2099.08         2010.99         0.122           1.04381         52.8374         1.20845         
W110    2099.6          2006.99         0.122           1.04615         39.181          0.532659        
W111    2100.07         1897.78         0.122           1.1066          47.7264         0.34998         
W112    2100.49         1909.6          0.122           1.09996         40.3869         0.789379        
W113    2100.86         1728.54         0.122           1.2154          47.7174         1.14758         
W114    2101.17         1898.56         0.122           1.10672         49.9542         1.16587         
W115    2101.43         1886.24         0.122           1.11409         47.4119         1.08553         
W116    2101.64         1894.86         0.122           1.10913         37.0361         1.01571         
W117    2101.8          1794.68         0.122           1.17113         39.9655         0.792296        
